id,name,type_id,date_start,date_end,active
base.date_range_2020_01,2020/01,Period,2020-01-01,2020-01-31,True
base.date_range_2020_02,2020/02,Period,2020-02-01,2020-02-29,True
base.date_range_2020_03,2020/03,Period,2020-03-01,2020-03-31,True
base.date_range_2020_04,2020/04,Period,2020-04-01,2020-04-30,True
base.date_range_2020_05,2020/05,Period,2020-05-01,2020-05-31,True
base.date_range_2020_06,2020/06,Period,2020-06-01,2020-06-30,True
base.date_range_2020_07,2020/07,Period,2020-07-01,2020-07-31,True
base.date_range_2020_08,2020/08,Period,2020-08-01,2020-08-31,True
base.date_range_2020_09,2020/09,Period,2020-09-01,2020-09-30,True
base.date_range_2020_10,2020/10,Period,2020-10-01,2020-10-31,True
base.date_range_2020_11,2020/11,Period,2020-11-01,2020-11-30,True
base.date_range_2020_12,2020/12,Period,2020-12-01,2020-12-31,True
