id,name,is_activity,kpi_ids/name,kpi_ids/description,kpi_ids/budget_activity_group,kpi_ids/respectively_variation,kpi_ids/budgetable,kpi_ids/not_affect_budget,kpi_ids/activity_expression,kpi_ids/expression
base.nxpo_kpi,KPI,TRUE,ag01,การเข้าร่วมประชุม-สัมมนา ในประเทศ,การเข้าร่วมประชุม-สัมมนา ในประเทศ,p,TRUE,TRUE,TRUE,
,,,ag02,การเข้าร่วมอบรม-พัฒนาบุคลากร ในประเทศ,การเข้าร่วมอบรม-พัฒนาบุคลากร ในประเทศ,p,TRUE,TRUE,TRUE,
,,,ag03,การจัดประชุม-สัมมนา ในประเทศ,การจัดประชุม-สัมมนา ในประเทศ,p,TRUE,TRUE,TRUE,
,,,ag04,การจัดอบรม-พัฒนาบุคลากร ในประเทศ,การจัดอบรม-พัฒนาบุคลากร ในประเทศ,p,TRUE,TRUE,TRUE,
,,,ag05,การเข้าร่วมประชุม-สัมมนา ต่างประเทศ,การเข้าร่วมประชุม-สัมมนา ต่างประเทศ,p,TRUE,TRUE,TRUE,
,,,ag06,การเข้าร่วมอบรม-พัฒนาบุคลากร ต่างประเทศ,การเข้าร่วมอบรม-พัฒนาบุคลากร ต่างประเทศ,p,TRUE,TRUE,TRUE,
,,,ag07,การจัดประชุม-สัมมนา ต่างประเทศ,การจัดประชุม-สัมมนา ต่างประเทศ,p,TRUE,TRUE,TRUE,
,,,ag08,การจัดอบรม-พัฒนาบุคลากร ต่างประเทศ,การจัดอบรม-พัฒนาบุคลากร ต่างประเทศ,p,TRUE,TRUE,TRUE,
,,,ag09,ประชุมคณะอนุชี้วัด,ประชุมคณะอนุชี้วัด,p,TRUE,TRUE,TRUE,
,,,ag10,ประชุมคณะกรรมการอำนวยการ (กอวช.),ประชุมคณะกรรมการอำนวยการ (กอวช.),p,TRUE,TRUE,TRUE,
,,,ag11,ประชุมคณะกรรมการ/คณะอนุกรรมการ/คณะทำงาน ภายใต้สอวช. หรือภายใต้ กอวช.,ประชุมคณะกรรมการ/คณะอนุกรรมการ/คณะทำงาน ภายใต้สอวช. หรือภายใต้ กอวช.,p,TRUE,TRUE,TRUE,
,,,ag12,จ้างที่ปรึกษา/ ผู้เชี่ยวชาญ/ ลูกจ้าง,จ้างที่ปรึกษา/ ผู้เชี่ยวชาญ/ ลูกจ้าง,p,TRUE,TRUE,TRUE,
,,,ag13,บันทึกข้อตกลงความร่วมมือ (MOU),บันทึกข้อตกลงความร่วมมือ (MOU),p,TRUE,TRUE,TRUE,
,,,ag14,จ้างเหมาบริการ,จ้างเหมาบริการ,p,TRUE,TRUE,TRUE,
,,,ag15,จัดทำรายงานและเอกสาร,จัดทำรายงานและเอกสาร,p,TRUE,TRUE,TRUE,
,,,ag16,จัดทำกิจกรรมสื่อสารและเผยแพร่,จัดทำกิจกรรมสื่อสารและเผยแพร่,p,TRUE,TRUE,TRUE,
,,,ag17,เงินเดือน,เงินเดือน,p,TRUE,TRUE,TRUE,
,,,ag18,กองทุนสำรองเลี้ยงชีพ,กองทุนสำรองเลี้ยงชีพ,p,TRUE,TRUE,TRUE,
,,,ag19,ค่าเช่าพื้นที่สำนักงาน,ค่าเช่าพื้นที่สำนักงาน,p,TRUE,TRUE,TRUE,
,,,ag20,ค่าเช่ารถประจำตำแหน่ง,ค่าเช่ารถประจำตำแหน่ง,p,TRUE,TRUE,TRUE,
,,,ag21,สาธารณูปโภค,สาธารณูปโภค,p,TRUE,TRUE,TRUE,
,,,ag22,ครุภัณฑ์,ครุภัณฑ์,p,TRUE,TRUE,TRUE,
,,,ag23,ค่าใช้สอยอื่นๆ,ค่าใช้สอยอื่นๆ,p,TRUE,TRUE,TRUE,
,,,ag24,การจัดหาระบบฐานข้อมูล ระบบคอมพิวเตอร์,การจัดหาระบบฐานข้อมูล ระบบคอมพิวเตอร์,p,TRUE,TRUE,TRUE,
,,,ag25,ค่าบริการเครือข่าย,ค่าบริการเครือข่าย,p,TRUE,TRUE,TRUE,
,,,ag26,ค่าบริการโทรคมนาคม,ค่าบริการโทรคมนาคม,p,TRUE,TRUE,TRUE,
,,,ag27,ค่ารักษาพยาบาล และสวัสดิการเลือกได้อิสระ,ค่ารักษาพยาบาล และสวัสดิการเลือกได้อิสระ,p,TRUE,TRUE,TRUE,
,,,ag28,ค่าวัสดุ,ค่าวัสดุ,p,TRUE,TRUE,TRUE,
,,,ag29,ค่าเช่าทรัพย์สิน,ค่าเช่าทรัพย์สิน,p,TRUE,TRUE,TRUE,
,,,total,Total,,,FALSE,TRUE,FALSE,ag01+ag02+ag03+ag04+ag05+ag06+ag07+ag08+ag09+ag10+ag11+ag12+ag13+ag14+ag15+ag16+ag17+ag18+ag19+ag20+ag21+ag22+ag23+ag24+ag25+ag26+ag27+ag28+ag29
